83;While urinating, Chuck Norris is easily capable of welding titanium.;chuck norris
178;In an act of great philanthropy, Chuck made a generous donation to the American Cancer Society. He donated 6,000 dead bodies for scientific research.;chuck norris
519;Chuck Norris once one a game of connect four in 3 moves.;chuck norris
202;Google won't search for Chuck Norris because it knows you don't find Chuck Norris, he finds you.;chuck norris
179;Chuck Norris? favourite cut of meat is the roundhouse.;chuck norris
205;It is scientifically impossible for Chuck Norris to have had a mortal father. The most popular theory is that he went back in time and fathered himself.;chuck norris
423;Chuck Norris had to stop washing his clothes in the ocean. The tsunamis were killing people.;chuck norris
319;In the Words of Julius Caesar, Veni, Vidi, Vici, Chuck Norris. Translation: I came, I saw, and I was roundhouse-kicked inthe face by Chuck Norris.;chuck norris
254;Chuck Norris doesn't look both ways before he crosses the street... he just roundhouses any cars that get too close.;chuck norris
237;Human cloning is outlawed because of Chuck Norris, because then it would be possible for a Chuck Norris roundhouse kick to meet another Chuck Norris roundhouse kick. Physicists theorize that this contact would end the universe.;chuck norris
134;Using his trademark roundhouse kick, Chuck Norris once made a fieldgoal in RJ Stadium in Tampa Bay from the 50 yard line of Qualcomm stadium in San Diego.;chuck norris
120;Chuck Norris played Russian Roulette with a fully loaded gun and won.;chuck norris
293;70% of a human's weight is water. 70% of Chuck Norris' weight is his dick.;explicit;chuck norris
135;Chuck Norris roundhouse kicks don't really kill people. They wipe out their entire existence from the space-time continuum.;chuck norris
287;Chuck Norris' testicles do not produce sperm. They produce tiny white ninjas that recognize only one mission: seek and destroy.;chuck norris
298;MacGyver immediately tried to make a bomb out of some Q-Tips and Gatorade, but Chuck Norris roundhouse-kicked him in the solar plexus. MacGyver promptly threw up his own heart.;chuck norris
367;Not everyone that Chuck Norris is mad at gets killed. Some get away. They are called astronauts.;chuck norris
105;Chuck Norris can drink an entire gallon of milk in thirty-seven seconds.;chuck norris
37;If you spell Chuck Norris in Scrabble, you win. Forever.;chuck norris
308;When you say no one's perfect, Chuck Norris takes this as a personal insult.;chuck norris
50;Chuck Norris invented Kentucky Fried Chicken's famous secret recipe with eleven herbs and spices. Nobody ever mentions the twelfth ingredient: Fear.;chuck norris
282;Chuck Norris can skeletize a cow in two minutes.;chuck norris
524;Chuck Norris eats lightning and shits out thunder.;chuck norris
240;In a fight between Batman and Darth Vader, the winner would be Chuck Norris.;chuck norris
270;The phrase 'dead ringer' refers to someone who sits behind Chuck Norris in a movie theater and forgets to turn their cell phone off.;chuck norris
304;It is said that looking into Chuck Norris' eyes will reveal your future. Unfortunately, everybody's future is always the same: death by a roundhouse-kick to the face.;chuck norris
170;Wo hu cang long. The translation from Mandarin Chinese reads: Crouching Chuck, Hidden Norris;chuck norris
538;Chuck Norris's log statements are always at the FATAL level.;nerdy;chuck norris
523;Chuck Norris can win in a game of Russian roulette with a fully loaded gun.;chuck norris
211;Nothing can escape the gravity of a black hole, except for Chuck Norris. Chuck Norris eats black holes. They taste like chicken.;chuck norris
47;There is no theory of evolution, just a list of creatures Chuck Norris allows to live.;chuck norris
157;A study showed the leading causes of death in the United States are: 1. Heart disease, 2. Chuck Norris, 3. Cancer;chuck norris
242;Everybody loves Raymond. Except Chuck Norris.;chuck norris
297;Noah was the only man notified before Chuck Norris relieved himself in the Atlantic Ocean.;chuck norris
351;In a tagteam match, Chuck Norris was teamed with Hulk Hogan against King Kong Bundy and Andre The Giant. He pinned all 3 at the same time.;chuck norris
96;Nobody doesn't like Sara Lee. Except Chuck Norris.;chuck norris
307;Chuck Norris never has to wax his skis because they're always slick with blood.;chuck norris
102;Chuck Norris ordered a Big Mac at Burger King, and got one.;chuck norris
342;Chuck Norris owns a chain of fast-food restaurants throughout the southwest. They serve nothing but barbecue-flavored ice cream and Hot Pockets.;chuck norris
539;Chuck Norris's database has only one table, 'Kick', which he DROPs frequently.;nerdy;chuck norris
230;Chuck Norris built a time machine and went back in time to stop the JFK assassination. As Oswald shot, Chuck met all three bullets with his beard, deflecting them. JFK's head exploded out of sheer amazement.;chuck norris
458;Chuck Norris can write infinite recursion functionsÂ…and have them return.;nerdy;chuck norris
259;When Chuck Norris does division, there are no remainders.;chuck norris
356;We live in an expanding universe. All of it is trying to get away from Chuck Norris.;chuck norris
174;Chuck Norris cannot love, he can only not kill.;chuck norris
552;Chuck Norris knows the value of NULL, and he can sort by it too.;nerdy;chuck norris
156;There is no such thing as global warming. Chuck Norris was cold, so he turned the sun up.;chuck norris
269;The best-laid plans of mice and men often go awry. Even the worst-laid plans of Chuck Norris come off without a hitch.;chuck norris
15;When Chuck Norris goes to donate blood, he declines the syringe, and instead requests a hand gun and a bucket.;chuck norris
459;Chuck Norris can solve the Towers of Hanoi in one move.;nerdy;chuck norris
313;All roads lead to Chuck Norris. And by the transitive property, a roundhouse kick to the face.;chuck norris
292;If you were somehow able to land a punch on Chuck Norris your entire arm would shatter upon impact. This is only in theory, since, come on, who in their right mind would try this?;chuck norris
405;One time, at band camp, Chuck Norris ate a percussionist.;chuck norris
548;Product Owners never argue with Chuck Norris after he demonstrates the DropKick feature.;nerdy;chuck norris
557;Chuck Norris can read from an input stream.;nerdy;chuck norris
141;The original draft of The Lord of the Rings featured Chuck Norris instead of Frodo Baggins. It was only 5 pages long, as Chuck roundhouse-kicked Sauron?s ass halfway through the first chapter.;chuck norris
144;If, by some incredible space-time paradox, Chuck Norris would ever fight himself, he'd win. Period.;chuck norris
91;When taking the SAT, write Chuck Norris for every answer. You will score over 8000.;chuck norris
345;When in a bar, you can order a drink called a Chuck Norris. It is also known as a Bloody Mary, if your name happens to be Mary.;chuck norris
563;Chuck Norris causes the Windows Blue Screen of Death.;nerdy;chuck norris
496;Chuck Norris went out of an infinite loop.;nerdy;chuck norris
233;When Bruce Banner gets mad, he turns into the Hulk. When the Hulk gets mad, he turns into Chuck Norris.;chuck norris
502;Chuck Norris insists on strongly-typed programming languages.;nerdy;chuck norris
277;Chuck Norris can blow bubbles with beef jerky.;chuck norris
321;Chuck Norris is widely predicted to be first black president. If you're thinking to yourself, But Chuck Norris isn't black, then you are dead wrong. And stop being a racist.;chuck norris
238;Chuck Norris once went skydiving, but promised never to do it again. One Grand Canyon is enough.;chuck norris
370;Godzilla is a Japanese rendition of Chuck Norris' first visit to Tokyo.;chuck norris
94;Chuck Norris has the greatest Poker-Face of all time. He won the 1983 World Series of Poker, despite holding only a Joker, a Get out of Jail Free Monopoloy card, a 2 of clubs, 7 of spades and a green #4 card from the game UNO.;chuck norris
29;Teenage Mutant Ninja Turtles is based on a true story: Chuck Norris once swallowed a turtle whole, and when he crapped it out, the turtle was six feet tall and had learned karate.;chuck norris
544;If you try to kill -9 Chuck Norris's programs, it backfires.;nerdy;chuck norris
379;Chuck Norris' Penis is a third degree blackbelt, and an honorable 32nd-degree mason.;chuck norris
433;In ancient China there is a legend that one day a child will be born from a dragon, grow to be a man, and vanquish evil from the land. That man is not Chuck Norris, because Chuck Norris killed that man.;chuck norris
530;Chuck Norris can dereference NULL.;nerdy;chuck norris
449;All arrays Chuck Norris declares are of infinite size, because Chuck Norris knows no bounds.;nerdy;chuck norris
411;The pen is mighter than the sword, but only if the pen is held by Chuck Norris.;chuck norris
151;Chuck Norris doesn't step on toes. Chuck Norris steps on necks.;chuck norris
250;The truth will set you free. Unless Chuck Norris has you, in which case, forget it buddy!;chuck norris
125;Simply by pulling on both ends, Chuck Norris can stretch diamonds back into coal.;chuck norris
155;Chuck Norris does not style his hair. It lays perfectly in place out of sheer terror.;chuck norris
382;Chuck Norris once participated in the running of the bulls. He walked.;chuck norris
261;Never look a gift Chuck Norris in the mouth, because he will bite your damn eyes off.;chuck norris
104;If you Google search Chuck Norris getting his ass kicked you will generate zero results. It just doesn't happen.;chuck norris
469;Chuck Norris can unit test entire applications with a single assert.;nerdy;chuck norris
95;On his birthday, Chuck Norris randomly selects one lucky child to be thrown into the sun.;chuck norris
106;Little known medical fact: Chuck Norris invented the Caesarean section when he roundhouse-kicked his way out of his monther's womb.;chuck norris
527;No one has ever spoken during review of Chuck Norris' code and lived to tell about it.;nerdy;chuck norris
320;The First rule of Chuck Norris is: you do not talk about Chuck Norris.;chuck norris
35;Fool me once, shame on you. Fool Chuck Norris once and he will roundhouse kick you in the face.;chuck norris
231;Chuck Norris doesn't read books. He stares them down until he gets the information he wants.;chuck norris
265;The phrase 'balls to the wall' was originally conceived to describe Chuck Norris entering any building smaller than an aircraft hangar.;chuck norris
30;Someone once tried to tell Chuck Norris that roundhouse kicks aren't the best way to kick someone. This has been recorded by historians as the worst mistake anyone has ever made.;chuck norris
160;Along with his black belt, Chuck Norris often chooses to wear brown shoes. No one has DARED call him on it. Ever.;chuck norris
465;Whiteboards are white because Chuck Norris scared them that way.;chuck norris
53;Chuck Norris drives an ice cream truck covered in human skulls.;chuck norris
130;There is in fact an 'I' in Norris, but there is no 'team'. Not even close.;chuck norris
346;Every time Chuck Norris smiles, someone dies. Unless he smiles while he?s roundhouse kicking someone in the face. Then two people die.;chuck norris
